Station:         SMT
Latitude:        72.5797
Longitude:       -38.4604
Altitude:        3216.5
SW version:      MW41 2.8.0

Start time:      7/28/2019 11:15:42 AM

    Time	  Height	Pressure	    Temp	Humidity	    WDir	  WSpeed	     Lat	     Lon
     0.0	    3216	   687.3	    -8.2	    85.4	   132.0	    10.2	 72.5797	-38.4604
     1.9	    3223	   686.7	    -8.8	    90.5	   134.6	     7.2	 72.5810	-38.4602
     2.9	    3227	   686.4	    -8.9	    90.6	   134.9	     7.3	 72.5811	-38.4604
     3.9	    3232	   685.9	    -9.0	    90.9	   134.9	     7.8	 72.5812	-38.4607
     4.9	    3238	   685.4	    -9.1	    90.9	   134.8	     8.3	 72.5812	-38.4610
     5.9	    3243	   684.9	    -9.1	    90.7	   134.8	     8.9	 72.5813	-38.4611
     6.9	    3248	   684.4	    -9.1	    90.7	   134.8	     9.4	 72.5814	-38.4613
     7.9	    3256	   683.9	    -9.2	    90.6	   134.9	     9.8	 72.5815	-38.4615
     8.9	    3261	   683.5	    -9.2	    90.3	   134.9	    10.2	 72.5816	-38.4617
     9.9	    3266	   683.0	    -9.3	    90.1	   135.0	    10.6	 72.5817	-38.4620
    10.9	    3270	   682.6	    -9.3	    90.0	   135.0	    11.0	 72.5817	-38.4623
    11.9	    3273	   682.2	    -9.4	    90.1	   135.1	    11.3	 72.5818	-38.4626
    12.9	    3278	   681.7	    -9.4	    90.3	   135.2	    11.7	 72.5819	-38.4629
    13.9	    3282	   681.3	    -9.5	    90.6	   135.3	    12.0	 72.5819	-38.4632
    14.9	    3289	   680.8	    -9.5	    91.0	   135.4	    12.3	 72.5820	-38.4635
    15.9	    3295	   680.4	    -9.6	    91.5	   135.6	    12.6	 72.5821	-38.4638
    16.9	    3301	   679.9	    -9.6	    91.7	   135.7	    12.8	 72.5822	-38.4641
    17.9	    3305	   679.3	    -9.7	    91.9	   135.9	    13.1	 72.5823	-38.4643
    18.9	    3311	   678.8	    -9.7	    92.0	   136.1	    13.3	 72.5824	-38.4646
    19.9	    3318	   678.3	    -9.8	    92.1	   136.3	    13.5	 72.5825	-38.4650
    20.9	    3326	   677.8	    -9.8	    92.2	   136.5	    13.7	 72.5826	-38.4653
    21.9	    3330	   677.3	    -9.9	    92.0	   136.7	    13.8	 72.5827	-38.4655
    22.9	    3335	   676.8	    -9.9	    91.9	   137.0	    14.0	 72.5827	-38.4658
    23.9	    3341	   676.2	    -9.9	    91.9	   137.3	    14.2	 72.5828	-38.4661
    24.9	    3347	   675.7	   -10.0	    91.9	   137.6	    14.3	 72.5829	-38.4664
    25.9	    3354	   675.2	   -10.0	    91.9	   137.9	    14.4	 72.5830	-38.4667
    26.9	    3359	   674.7	   -10.1	    91.7	   138.2	    14.6	 72.5831	-38.4670
    27.9	    3366	   674.1	   -10.1	    91.5	   138.6	    14.7	 72.5832	-38.4673
    28.9	    3372	   673.6	   -10.1	    91.3	   139.0	    14.8	 72.5833	-38.4676
    29.9	    3379	   673.1	   -10.1	    91.2	   139.3	    15.0	 72.5834	-38.4679
    30.9	    3385	   672.5	   -10.2	    91.1	   139.7	    15.1	 72.5835	-38.4681
    31.9	    3391	   672.0	   -10.2	    91.2	   140.2	    15.3	 72.5836	-38.4684
    32.9	    3397	   671.6	   -10.3	    91.3	   140.6	    15.4	 72.5837	-38.4687
    33.9	    3401	   671.1	   -10.3	    91.4	   141.0	    15.5	 72.5838	-38.4690
    34.9	    3406	   670.6	   -10.3	    91.3	   141.5	    15.7	 72.5839	-38.4694
    35.9	    3412	   670.2	   -10.4	    91.1	   141.9	    15.8	 72.5840	-38.4697
    36.9	    3415	   669.8	   -10.4	    90.9	   142.4	    16.0	 72.5841	-38.4700
    37.9	    3421	   669.3	   -10.4	    90.6	   142.8	    16.1	 72.5843	-38.4703
    38.9	    3426	   668.9	   -10.4	    90.5	   143.3	    16.2	 72.5844	-38.4706
    39.9	    3430	   668.5	   -10.4	    90.4	   143.7	    16.4	 72.5846	-38.4708
    40.9	    3436	   668.0	   -10.4	    90.4	   144.2	    16.5	 72.5847	-38.4711
    41.9	    3442	   667.6	   -10.4	    90.3	   144.7	    16.6	 72.5848	-38.4713
    42.9	    3445	   667.2	   -10.4	    90.2	   145.1	    16.8	 72.5848	-38.4716
    43.9	    3451	   666.8	   -10.4	    90.0	   145.6	    16.9	 72.5849	-38.4718
    44.9	    3455	   666.3	   -10.4	    89.7	   146.1	    17.0	 72.5851	-38.4721
    45.9	    3460	   665.9	   -10.4	    89.6	   146.6	    17.1	 72.5852	-38.4724
