Station:         SMT
Latitude:        72.5797
Longitude:       -38.4604
Altitude:        3216.5
SW version:      MW41 2.8.0

Start time:      8/1/2019 11:19:17 PM

    Time	  Height	Pressure	    Temp	Humidity	    WDir	  WSpeed	     Lat	     Lon
     0.0	    3216	   695.7	   -11.3	    87.2	   151.0	     4.3	 72.5797	-38.4604
     2.5	    3225	   695.0	    -7.1	    95.0	   164.6	     2.3	 72.5809	-38.4600
     3.5	    3227	   694.8	    -6.2	    93.9	   168.1	     2.3	 72.5810	-38.4600
     4.5	    3235	   694.1	    -5.5	    87.4	   170.1	     2.4	 72.5811	-38.4600
     5.5	    3241	   693.5	    -5.1	    77.2	   171.9	     2.5	 72.5811	-38.4601
     6.5	    3245	   693.1	    -4.8	    65.6	   173.9	     2.7	 72.5811	-38.4601
     7.5	    3251	   692.6	    -4.6	    54.8	   176.1	     2.8	 72.5812	-38.4602
     8.5	    3257	   692.1	    -4.3	    48.9	   178.4	     2.9	 72.5812	-38.4602
     9.5	    3265	   691.6	    -3.9	    54.1	   180.7	     3.0	 72.5812	-38.4603
    10.5	    3271	   691.1	    -3.8	    67.4	   182.9	     3.1	 72.5812	-38.4603
    11.5	    3275	   690.7	    -3.7	    78.9	   185.1	     3.2	 72.5812	-38.4603
    12.5	    3279	   690.3	    -3.7	    86.5	   187.2	     3.3	 72.5812	-38.4602
    13.5	    3283	   689.9	    -3.5	    91.0	   189.3	     3.3	 72.5812	-38.4602
    14.5	    3287	   689.5	    -3.5	    93.3	   191.3	     3.4	 72.5812	-38.4602
    15.5	    3287	   689.1	    -3.3	    89.1	   193.1	     3.5	 72.5813	-38.4602
    16.5	    3296	   688.7	    -3.2	    77.3	   194.8	     3.6	 72.5813	-38.4602
    17.5	    3302	   688.3	    -3.0	    62.3	   196.4	     3.7	 72.5814	-38.4602
    18.5	    3306	   687.9	    -2.8	    50.2	   197.8	     3.7	 72.5814	-38.4601
    19.5	    3310	   687.5	    -2.7	    42.3	   199.1	     3.8	 72.5815	-38.4600
    20.5	    3313	   687.1	    -2.6	    35.0	   200.2	     3.8	 72.5816	-38.4599
    21.5	    3318	   686.7	    -2.5	    28.3	   201.2	     3.9	 72.5816	-38.4598
    22.5	    3325	   686.2	    -2.3	    22.8	   201.9	     3.9	 72.5817	-38.4597
    23.5	    3331	   685.8	    -2.2	    19.8	   202.6	     3.9	 72.5817	-38.4596
    24.5	    3335	   685.4	    -2.2	    19.1	   203.0	     3.9	 72.5817	-38.4596
    25.5	    3340	   685.0	    -2.1	    19.4	   203.3	     3.9	 72.5817	-38.4595
    26.5	    3345	   684.6	    -2.1	    19.7	   203.5	     3.9	 72.5817	-38.4594
    27.5	    3348	   684.2	    -2.1	    19.7	   203.4	     3.9	 72.5817	-38.4593
    28.5	    3354	   683.7	    -2.1	    19.6	   203.2	     3.9	 72.5818	-38.4591
    29.5	    3357	   683.3	    -2.0	    19.5	   202.9	     3.9	 72.5818	-38.4590
    30.5	    3362	   682.9	    -2.0	    19.5	   202.3	     3.8	 72.5819	-38.4589
    31.5	    3367	   682.5	    -2.0	    19.4	   201.7	     3.8	 72.5819	-38.4589
    32.5	    3374	   682.1	    -1.9	    19.2	   200.9	     3.7	 72.5820	-38.4589
    33.5	    3378	   681.6	    -1.9	    18.9	   199.9	     3.7	 72.5820	-38.4589
    34.5	    3382	   681.2	    -1.9	    18.6	   198.9	     3.7	 72.5820	-38.4589
    35.5	    3388	   680.8	    -1.9	    18.4	   197.7	     3.6	 72.5820	-38.4589
    36.5	    3392	   680.3	    -1.9	    18.3	   196.5	     3.6	 72.5821	-38.4588
    37.5	    3397	   679.8	    -1.9	    18.2	   195.3	     3.6	 72.5821	-38.4587
    38.5	    3405	   679.4	    -1.9	    18.3	   194.1	     3.5	 72.5821	-38.4586
    39.5	    3411	   678.9	    -1.9	    18.5	   192.8	     3.5	 72.5821	-38.4586
    40.5	    3417	   678.4	    -1.9	    18.7	   191.6	     3.5	 72.5822	-38.4587
    41.5	    3422	   678.0	    -1.9	    19.0	   190.5	     3.5	 72.5822	-38.4588
    42.5	    3428	   677.6	    -2.0	    19.3	   189.4	     3.4	 72.5822	-38.4589
    43.5	    3429	   677.1	    -2.0	    19.6	   188.3	     3.4	 72.5822	-38.4589
    44.5	    3434	   676.7	    -2.0	    19.8	   187.4	     3.4	 72.5822	-38.4589
    45.5	    3439	   676.3	    -2.0	    19.8	   186.5	     3.4	 72.5822	-38.4588
    46.5	    3446	   675.9	    -2.0	    19.7	   185.8	     3.4	 72.5823	-38.4588
    47.5	    3452	   675.5	    -2.0	    19.4	   185.2	     3.4	 72.5823	-38.4588
    48.5	    3454	   675.1	    -2.0	    19.3	   184.7	     3.4	 72.5824	-38.4588
    49.5	    3457	   674.7	    -2.0	    19.2	   184.3	     3.4	 72.5824	-38.4589
    50.5	    3463	   674.3	    -2.0	    19.2	   184.0	     3.4	 72.5825	-38.4589
    51.5	    3468	   673.9	    -2.0	    19.4	   183.7	     3.4	 72.5825	-38.4589
    52.5	    3471	   673.5	    -2.0	    19.8	   183.6	     3.4	 72.5826	-38.4588
    53.5	    3478	   673.1	    -2.1	    20.5	   183.5	     3.4	 72.5826	-38.4588
    54.5	    3482	   672.6	    -2.1	    21.2	   183.5	     3.4	 72.5826	-38.4587
    55.5	    3487	   672.2	    -2.1	    21.7	   183.6	     3.4	 72.5826	-38.4586
    56.5	    3495	   671.7	    -2.1	    22.0	   183.6	     3.3	 72.5826	-38.4586
    57.5	    3501	   671.2	    -2.2	    22.3	   183.7	     3.3	 72.5826	-38.4586
    58.5	    3507	   670.7	    -2.3	    22.8	   183.9	     3.3	 72.5827	-38.4586
    59.5	    3512	   670.2	    -2.3	    23.4	   184.0	     3.2	 72.5827	-38.4586
    60.5	    3520	   669.7	    -2.4	    24.3	   184.1	     3.2	 72.5827	-38.4587
    61.5	    3526	   669.2	    -2.4	    25.0	   184.3	     3.1	 72.5828	-38.4587
    62.5	    3532	   668.7	    -2.4	    25.5	   184.4	     3.1	 72.5828	-38.4587
    63.5	    3537	   668.3	    -2.5	    25.7	   184.6	     3.0	 72.5829	-38.4587
    64.5	    3539	   667.8	    -2.5	    25.9	   184.7	     2.9	 72.5829	-38.4588
    65.5	    3546	   667.4	    -2.5	    26.0	   184.9	     2.9	 72.5829	-38.4588
    66.5	    3551	   666.9	    -2.6	    26.3	   185.0	     2.8	 72.5830	-38.4588
    67.5	    3556	   666.5	    -2.6	    26.4	   185.1	     2.7	 72.5830	-38.4588
    68.5	    3564	   666.1	    -2.6	    26.5	   185.2	     2.7	 72.5830	-38.4587
    69.5	    3566	   665.7	    -2.7	    26.4	   185.3	     2.6	 72.5831	-38.4585
    70.5	    3570	   665.3	    -2.7	    26.4	   185.3	     2.5	 72.5831	-38.4584
    71.5	    3576	   664.9	    -2.7	    26.4	   185.4	     2.5	 72.5831	-38.4583
    72.5	    3581	   664.4	    -2.7	    26.4	   185.4	     2.4	 72.5831	-38.4583
    73.5	    3585	   664.0	    -2.8	    26.3	   185.5	     2.3	 72.5831	-38.4584
    74.5	    3591	   663.6	    -2.8	    26.2	   185.5	     2.3	 72.5831	-38.4585
    75.5	    3597	   663.2	    -2.8	    26.2	   185.5	     2.2	 72.5831	-38.4586
    76.5	    3600	   662.7	    -2.8	    26.3	   185.5	     2.2	 72.5832	-38.4587
    77.5	    3606	   662.3	    -2.9	    26.3	   185.4	     2.1	 72.5832	-38.4588
    78.5	    3611	   661.9	    -2.9	    26.3	   185.3	     2.1	 72.5832	-38.4587
    79.5	    3618	   661.5	    -2.9	    26.3	   185.2	     2.1	 72.5832	-38.4587
    80.5	    3623	   661.1	    -3.0	    26.3	   185.1	     2.1	 72.5832	-38.4586
    81.5	    3627	   660.7	    -3.0	    26.2	   185.0	     2.0	 72.5832	-38.4586
    82.5	    3633	   660.3	    -3.0	    26.2	   184.8	     2.0	 72.5832	-38.4585
    83.5	    3633	   659.9	    -3.0	    26.2	   184.6	     2.0	 72.5832	-38.4585
